sentence1,sentence2,score,BoW score,TF-IDF score,BoW Pearson Correlation,BoW Spearman Rank Correlation,TF-IDF Pearson Correlation,TF-IDF Spearman Rank Correlation,BoW/True,TF-IDF/True
The woman is playing the flute.,A woman is playing a flute.,1.0,0.7071067811865475,0.9007778488681537,0.0,0.0,0.0,0.0,0.7071067811865475,0.9007778488681537
A rabbit is running from an eagle.,A hare is running from a eagle.,0.84,0.7302967433402215,0.5881567007827,0.0,0.0,0.0,0.0,0.8694008849288352,0.7001865485508334
The woman is frying a breaded pork chop.,A woman is cooking a breaded pork chop.,0.84,0.7715167498104596,0.7998333398580746,0.0,0.0,0.0,0.0,0.9184723212029281,0.9521825474500888
A girl is flying a kite.,A girl running is flying a kite.,0.8,0.8944271909999159,0.9242941114199745,0.0,0.0,0.0,0.0,1.1180339887498947,1.155367639274968
A man is riding a mechanical bull.,A man rode a mechanical bull.,0.8,0.6708203932499369,0.7431125232597504,0.0,0.0,0.0,0.0,0.8385254915624211,0.928890654074688
The man is playing the guitar.,A man is playing a guitar.,0.98,0.7071067811865475,0.8785238232767878,0.0,0.0,0.0,0.0,0.7215375318230076,0.8964528808946814
A woman is dancing and singing with other women.,A woman is dancing and singing in the rain.,0.6,0.6249999999999999,0.6103067797622268,0.0,0.0,0.0,0.0,1.0416666666666665,1.0171779662703782
A man is slicing a bun.,A man is slicing an onion.,0.48,0.6708203932499369,0.42057985572096845,0.0,0.0,0.0,0.0,1.3975424859373686,0.8762080327520176
A man is pouring oil into a pan.,A man is pouring oil into a skillet.,0.84,0.8333333333333335,0.6959454262713762,0.0,0.0,0.0,0.0,0.9920634920634923,0.8285064598468765
A lion is playing with people.,A lion is playing with two men.,0.68,0.7302967433402215,0.7398147246283724,0.0,0.0,0.0,0.0,1.0739657990297375,1.0879628303358417
A dog rides a skateboard.,A dog is riding a skateboard.,1.0,0.5773502691896258,0.6421814065131137,0.0,0.0,0.0,0.0,0.5773502691896258,0.6421814065131137
Someone is carving a statue.,A man is carving a statue.,0.75,0.75,0.8602706922459135,0.0,0.0,0.0,0.0,1.0,1.1470275896612179
A woman is slicing an onion.,A man is cutting an onion.,0.55,0.6,0.5972521229408176,0.0,0.0,0.0,0.0,1.0909090909090908,1.0859129508014866
A woman peels shrimp.,A woman is peeling shrimp.,1.0,0.5773502691896258,0.5560423116801614,0.0,0.0,0.0,0.0,0.5773502691896258,0.5560423116801614
A woman is frying fish.,A woman is cooking fish.,0.8,0.75,0.5376348076299919,0.0,0.0,0.0,0.0,0.9375,0.6720435095374899
A woman is playing an electric guitar.,A woman is playing a guitar.,0.72,0.8164965809277261,0.6695515271075637,0.0,0.0,0.0,0.0,1.1340230290662863,0.9299326765382829
A baby tiger is playing with a ball.,A baby is playing with a doll.,0.32,0.7302967433402215,0.45387922501183187,0.0,0.0,0.0,0.0,2.282177322938192,1.4183725781619745
A person is slicing a tomato.,A person is slicing some meat.,0.35,0.6708203932499369,0.502344454017608,0.0,0.0,0.0,0.0,1.9166296949998198,1.435269868621737
A person cuts an onion.,A person is cutting an onion.,1.0,0.6708203932499369,0.6559837713401409,0.0,0.0,0.0,0.0,0.6708203932499369,0.6559837713401409
A man is playing the piano.,A woman is playing the violin.,0.2,0.6,0.32704455397155185,0.0,0.0,0.0,0.0,2.9999999999999996,1.6352227698577593
A woman is playing the flute.,A man is playing the guitar.,0.2,0.6,0.3835222310248125,0.0,0.0,0.0,0.0,2.9999999999999996,1.9176111551240622
A man is cutting up a potato.,A man is cutting up carrots.,0.47,0.7999999999999999,0.5595399747737458,0.0,0.0,0.0,0.0,1.702127659574468,1.1905105846249913
A kid is playing guitar.,A boy is playing a guitar.,0.76,0.75,0.5707957247573102,0.0,0.0,0.0,0.0,0.9868421052631579,0.7510470062596187
A boy is playing guitar.,A man is playing a guitar.,0.64,0.75,0.7406749920738999,0.0,0.0,0.0,0.0,1.171875,1.1573046751154685
A man is playing guitar.,A boy is playing a guitar.,0.64,0.75,0.7406749920738999,0.0,0.0,0.0,0.0,1.171875,1.1573046751154685
A little boy is playing a keyboard.,A boy is playing key board.,0.88,0.6,0.37009768883551664,0.0,0.0,0.0,0.0,0.6818181818181818,0.42056555549490526
A man is playing a guitar.,A man is playing an electric guitar.,0.75,0.8164965809277261,0.6601791716386958,0.0,0.0,0.0,0.0,1.088662107903635,0.8802388955182611
A dog licks a baby.,A dog is licking a baby.,0.95,0.5773502691896258,0.4262586125090983,0.0,0.0,0.0,0.0,0.607737125462764,0.44869327632536665
A woman is slicing an onion.,A man is cutting and onion.,0.64,0.39999999999999997,0.447416613309062,0.0,0.0,0.0,0.0,0.6249999999999999,0.6990884582954093
A man is playing the guitar.,A man is playing the drums.,0.31,0.7999999999999999,0.4805675421229566,0.0,0.0,0.0,0.0,2.5806451612903225,1.550217877815989
A woman is slicing a pepper.,A woman is cutting a red pepper.,0.79,0.6708203932499369,0.629162424032746,0.0,0.0,0.0,0.0,0.8491397382910594,0.7964081316870203
A man is playing the drums.,A man plays the drum.,1.0,0.4472135954999579,0.12669850540542033,0.0,0.0,0.0,0.0,0.4472135954999579,0.12669850540542033
A woman rides a horse.,A woman is riding a horse.,1.0,0.5773502691896258,0.5047077664861594,0.0,0.0,0.0,0.0,0.5773502691896258,0.5047077664861594
A man is eating a banana by a tree.,A man is eating a banana.,0.8,0.8164965809277261,0.810559197494941,0.0,0.0,0.0,0.0,1.0206207261596576,1.013198996868676
A cat is playing a key board.,A man is playing two keyboards.,0.32,0.39999999999999997,0.18312007595255742,0.0,0.0,0.0,0.0,1.2499999999999998,0.572250237351742
A man chops down a tree with an axe.,A man cut a tree with an axe.,0.95,0.7715167498104596,0.6822640042641412,0.0,0.0,0.0,0.0,0.8121228945373259,0.7181726360675171
A kid plays with a toy phone.,A little boy plays with a toy phone.,0.7,0.7302967433402215,0.717664517611773,0.0,0.0,0.0,0.0,1.0432810619146022,1.0252350251596758
A man is riding a motorcycle.,A man is riding a horse.,0.28,0.75,0.558329157532094,0.0,0.0,0.0,0.0,2.6785714285714284,1.9940327054717641
A man is riding a motorcycle.,A man is riding a horse.,0.28,0.75,0.558329157532094,0.0,0.0,0.0,0.0,2.6785714285714284,1.9940327054717641
A squirrel is spinning around in circles.,A squirrel runs around in circles.,0.8,0.7302967433402215,0.7483461500820581,0.0,0.0,0.0,0.0,0.9128709291752769,0.9354326876025726
A man and a woman are kissing.,A man and woman kiss.,1.0,0.6708203932499369,0.3178690303146696,0.0,0.0,0.0,0.0,0.6708203932499369,0.3178690303146696
A man is getting into a car.,A man is getting into a car in a garage.,0.77,0.8451542547285166,0.7899308391722872,0.0,0.0,0.0,0.0,1.0976029282188526,1.0258842067172562
A man is dancing.,A man is talking.,0.12,0.6666666666666669,0.3094520755011383,0.0,0.0,0.0,0.0,5.555555555555557,2.578767295842819
A man is playing the guitar and singing.,A man is playing the guitar.,0.58,0.8451542547285165,0.7554435299481362,0.0,0.0,0.0,0.0,1.4571625081526147,1.302488844738166
A person is cutting mushrooms.,A person is cutting mushrooms with a knife.,0.84,0.8164965809277261,0.8343247413383084,0.0,0.0,0.0,0.0,0.972019739199674,0.9932437396884624
A tiger cub is making a sound.,A tiger is walking around.,0.4,0.4472135954999579,0.3413037148322682,0.0,0.0,0.0,0.0,1.1180339887498947,0.8532592870806704
A person is slicing onions.,A person is peeling an onion.,0.52,0.4472135954999579,0.25183222702230257,0.0,0.0,0.0,0.0,0.8600261451922268,0.48429274427365876
A man is playing the piano.,A man is playing the trumpet.,0.32,0.7999999999999999,0.44552202103353694,0.0,0.0,0.0,0.0,2.4999999999999996,1.392256315729803
A woman is peeling a potato.,A woman is peeling an apple.,0.4,0.6708203932499369,0.544038389418825,0.0,0.0,0.0,0.0,1.6770509831248421,1.3600959735470624
A pankda is eating bamboo.,A panda bear is eating some bamboo.,0.84,0.6123724356957946,0.49240852544022257,0.0,0.0,0.0,0.0,0.7290148043997555,0.5862006255240745
A person is peeling an onion.,A person is peeling an eggplant.,0.4,0.7999999999999999,0.6225124542849702,0.0,0.0,0.0,0.0,1.9999999999999998,1.5562811357124253
A monkey pushes another monkey.,The monkey pushed the other monkey.,0.96,0.5163977794943223,0.6265542277974033,0.0,0.0,0.0,0.0,0.5379143536399191,0.6526606539556284
A squirrel runs around in circles.,A squirrel is moving in circles.,0.88,0.6,0.6769547204811537,0.0,0.0,0.0,0.0,0.6818181818181818,0.7692667278194928
A man is tying his shoe.,A man ties his shoe.,1.0,0.6708203932499369,0.6198779919832518,0.0,0.0,0.0,0.0,0.6708203932499369,0.6198779919832518
A boy is singing and playing the piano.,A boy is playing the piano.,0.6,0.8451542547285165,0.808010561859878,0.0,0.0,0.0,0.0,1.4085904245475276,1.3466842697664634
A dog is eating water melon.,A dog is eating a piece of watermelon.,0.85,0.5477225575051662,0.33919088145189696,0.0,0.0,0.0,0.0,0.6443794794178426,0.3990480958257611
A woman is chopping broccoli.,A woman is chopping broccoli with a knife.,0.85,0.8164965809277261,0.8302674006092949,0.0,0.0,0.0,0.0,0.9605842128561485,0.9767851771874059
A man is peeling a potato.,A man peeled a potatoe.,0.76,0.2886751345948129,0.08492948824357964,0.0,0.0,0.0,0.0,0.3798357034142275,0.111749326636289
A woman is playing a guitar.,A man plays a guitar.,0.48,0.2886751345948129,0.38060825304935497,0.0,0.0,0.0,0.0,0.6014065304058602,0.7929338605194896
A woman is slicing tomato.,A man is slicing onion.,0.32,0.5,0.3815182786484138,0.0,0.0,0.0,0.0,1.5625,1.1922446207762931
A man swims underwater.,A woman is swimming underwater.,0.4,0.2886751345948129,0.5199954946402954,0.0,0.0,0.0,0.0,0.7216878364870323,1.2999887366007383
A man and woman are talking.,A man and woman is eating.,0.32,0.6,0.40199864948488284,0.0,0.0,0.0,0.0,1.875,1.2562457796402589
A small dog is chasing a yoga ball.,A dog is chasing a ball.,0.8,0.8164965809277261,0.7103433637919236,0.0,0.0,0.0,0.0,1.0206207261596576,0.8879292047399046
The men are playing cricket.,The men are playing basketball.,0.44,0.7999999999999999,0.5137606213269217,0.0,0.0,0.0,0.0,1.8181818181818181,1.1676377757430039
A man rides off on a motorcycle.,A man is riding on a motorcycle.,0.88,0.6,0.5245240575315766,0.0,0.0,0.0,0.0,0.6818181818181818,0.5960500653767916
A man is playing a guitar.,A man is singing and playing a guitar.,0.72,0.8164965809277261,0.7437353297364203,0.0,0.0,0.0,0.0,1.1340230290662863,1.0329657357450281
The man talked on the telephone.,The man is talking on the phone.,0.72,0.7071067811865475,0.24938746666511385,0.0,0.0,0.0,0.0,0.9820927516479826,0.34637148147932484
A man is fishing.,A man is exercising.,0.1,0.6666666666666669,0.22468326878876754,0.0,0.0,0.0,0.0,6.666666666666668,2.246832687887675
A man is levitating.,A man is talking.,0.16,0.6666666666666669,0.21761471657459824,0.0,0.0,0.0,0.0,4.166666666666668,1.360091978591239
Two boys are driving.,Two bays are dancing.,0.12,0.5,0.23669191528921524,0.0,0.0,0.0,0.0,4.166666666666667,1.9724326274101271
A man is riding on a horse.,A girl is riding a horse.,0.52,0.6708203932499369,0.7259428967014865,0.0,0.0,0.0,0.0,1.2900392177883402,1.3960440321182432
A man is riding a bicycle.,A monkey is riding a bike.,0.4,0.5,0.3168411616430784,0.0,0.0,0.0,0.0,1.25,0.792102904107696
A man is slicing potatoes.,A woman is peeling potato.,0.44,0.25,0.05852749380542974,0.0,0.0,0.0,0.0,0.5681818181818182,0.13301703137597667
A woman is peeling a potato.,A man is slicing potato.,0.48,0.5,0.4891966440920848,0.0,0.0,0.0,0.0,1.0416666666666667,1.0191596751918435
A man is playing a guitar.,Someoen is playing guitar.,0.72,0.75,0.5795354365621029,0.0,0.0,0.0,0.0,1.0416666666666667,0.8049103285584763
A woman is slicing a leek.,A woman is slicing ginger.,0.44,0.75,0.3905009369830408,0.0,0.0,0.0,0.0,1.7045454545454546,0.8875021295069109
The man cut a paper plate.,A man is cutting a paper plate.,0.96,0.6,0.7369120202660682,0.0,0.0,0.0,0.0,0.625,0.7676166877771544
The man is playing the guitar.,A man is playing the flute.,0.33,0.7905694150420948,0.5454632227053096,0.0,0.0,0.0,0.0,2.395664894066954,1.6529188566827562
A man is playing the piano.,The man is playing the violin.,0.35,0.7905694150420948,0.47585526176068293,0.0,0.0,0.0,0.0,2.2587697572631282,1.35958646217338
A woman is slicing up some meat.,A woman is breading some meat.,0.45,0.7302967433402215,0.5845408642505466,0.0,0.0,0.0,0.0,1.622881651867159,1.298979698334548
A man is playing on his keyboard.,A man is playing a keyboard piano.,0.8,0.7302967433402215,0.7063229255228486,0.0,0.0,0.0,0.0,0.9128709291752769,0.8829036569035607
The lady chopped up the green onions.,The lady cut up a green onion.,0.96,0.6804138174397717,0.5118616008466408,0.0,0.0,0.0,0.0,0.7087643931664289,0.5331891675485841
Someone is sitring noodles in water.,A woman is boiling noodles in water.,0.64,0.6666666666666669,0.5000526946173709,0.0,0.0,0.0,0.0,1.041666666666667,0.781332335339642
Lionel Richie is dancing on the ceiling.,Lionel Ritchie dances while standing on the ceiling.,0.8,0.5345224838248487,0.4641791880621125,0.0,0.0,0.0,0.0,0.6681531047810608,0.5802239850776406
A man is playing a piano.,A person is playing the piano.,0.88,0.6708203932499369,0.7627873472153428,0.0,0.0,0.0,0.0,0.7622959014203828,0.8668038036537986
A woman is playing flute.,A woman plays on a flute.,0.92,0.5,0.603620461626469,0.0,0.0,0.0,0.0,0.5434782608695652,0.656109197420075
A boy is checking a calender.,A boy is looking at a calendar.,0.76,0.4472135954999579,0.17317779719445556,0.0,0.0,0.0,0.0,0.588438941447313,0.2278655226242836
A woman is cutting an onion.,A woman is chopping onions.,0.96,0.4472135954999579,0.16890538372844735,0.0,0.0,0.0,0.0,0.4658474953124562,0.175943108050466
A man is playing guitar.,A man plays a guitar.,0.97,0.5773502691896258,0.5417974793259376,0.0,0.0,0.0,0.0,0.5952064630820885,0.5585541023978738
A woman is using a sewing machine.,A woman is sewing on a machine.,1.0,0.7999999999999999,0.8541930423040757,0.0,0.0,0.0,0.0,0.7999999999999999,0.8541930423040757
A woman is flipping pancakes.,A cartoon chef is flipping pancakes.,0.51,0.6708203932499369,0.7047069534635673,0.0,0.0,0.0,0.0,1.315334104411641,1.3817783401246417
A man is running on the road.,A car is driving down the road.,0.2,0.5000000000000001,0.42854234562069854,0.0,0.0,0.0,0.0,2.5000000000000004,2.1427117281034924
A man is riding on a horse.,A man is talking on a phone.,0.2,0.6,0.27206666608686,0.0,0.0,0.0,0.0,2.9999999999999996,1.3603333304342997
A man is riding a bike.,A man is riding on a horse.,0.4,0.6708203932499369,0.5343920488286396,0.0,0.0,0.0,0.0,1.6770509831248421,1.3359801220715988
A woman is dancing.,A man is eating.,0.03,0.3333333333333334,0.11424901066390289,0.0,0.0,0.0,0.0,11.111111111111114,3.80830035546343
A man is playing a piano.,A man is playing a flute.,0.4,0.75,0.46274210945177335,0.0,0.0,0.0,0.0,1.875,1.1568552736294333
A man is playing a flute.,A man is playing a piano.,0.32,0.75,0.46274210945177335,0.0,0.0,0.0,0.0,2.34375,1.4460690920367918
A man is spinning.,A man is dancing.,0.32,0.6666666666666669,0.2438752273224129,0.0,0.0,0.0,0.0,2.083333333333334,0.7621100853825403
A monkey is swinging from limb to limb.,A monkey is swinging from tree to tree.,0.68,0.5555555555555556,0.3501582792614014,0.0,0.0,0.0,0.0,0.8169934640522876,0.5149386459726492
The people got off the train.,The people got off the train at the station.,0.8,0.9128709291752768,0.8697117181076721,0.0,0.0,0.0,0.0,1.1410886614690958,1.08713964763459
A dog is jumping on a trampoline.,A dog bounces on a trampoline.,0.96,0.6708203932499369,0.5848407277564837,0.0,0.0,0.0,0.0,0.6987712429686843,0.6092090914130038
A boy is playing an instrument.,A man is playing a trumpet.,0.5,0.4472135954999579,0.21361480322375961,0.0,0.0,0.0,0.0,0.8944271909999159,0.42722960644751923
A woman plays the guitar.,A man sings and plays the guitar.,0.35,0.6123724356957946,0.6227838906686117,0.0,0.0,0.0,0.0,1.7496355305594131,1.7793825447674623
A woman is picking a can.,A woman is slicing a tomato.,0.2,0.5,0.18790085416654362,0.0,0.0,0.0,0.0,2.5,0.939504270832718
A man is climbing a rope.,A man climbs up a rope.,1.0,0.5,0.4477888770624835,0.0,0.0,0.0,0.0,0.5,0.4477888770624835
A man is lifting a car.,A man is climbing a wall.,0.28,0.5,0.15033808057125136,0.0,0.0,0.0,0.0,1.7857142857142856,0.5369217163258977
A man and woman are driving down the street in a jeep.,A man and woman are driving down the road in an open air vehicle.,0.8,0.7016464154456235,0.4575716800672094,0.0,0.0,0.0,0.0,0.8770580193070293,0.5719646000840117
The shirtless man sat in a chair.,A shirtless man is sitting on a chair.,0.76,0.5000000000000001,0.6854450762750293,0.0,0.0,0.0,0.0,0.6578947368421054,0.9019014161513543
Two women are wrestling.,Two women are wrestling on the floor.,0.8,0.7559289460184544,0.8389612001138145,0.0,0.0,0.0,0.0,0.9449111825230679,1.048701500142268
The puppy played with a blue tennis ball.,A puppy is playing with a tennis ball.,0.8,0.6172133998483676,0.7494239705703556,0.0,0.0,0.0,0.0,0.7715167498104595,0.9367799632129444
A kangroo is eating something.,A kangaroo is eating.,0.96,0.5773502691896258,0.32077783938565146,0.0,0.0,0.0,0.0,0.6014065304058602,0.33414358269338695
A cat is playing a piano.,A man is playing a guitar.,0.12,0.5,0.3184065988695719,0.0,0.0,0.0,0.0,4.166666666666667,2.653388323913099
The man cut some carpet with a knife.,A man is cutting carpet with a knife.,0.95,0.6172133998483676,0.7036563861236815,0.0,0.0,0.0,0.0,0.6496983156298607,0.7406909327617701
A woman is riding a motorized scooter down a road.,A man is riding a motor scooter.,0.44,0.50709255283711,0.46107173674643387,0.0,0.0,0.0,0.0,1.1524830746297954,1.0478903107873496
someone is slicing a vegetable.,Someone is slicing a tomato.,0.6,0.75,0.5393894422363725,0.0,0.0,0.0,0.0,1.25,0.8989824037272875
A woman is dancing.,A man is talking.,0.0,0.3333333333333334,0.11066820321802628,0.0,0.0,0.0,0.0,0.0,0.0
A dog licks up a baby's drool.,A dog licks a baby.,0.44,0.7745966692414834,0.7316714056443765,0.0,0.0,0.0,0.0,1.760446975548826,1.662889558282674
A man is rowing a boat.,A man is slicing a tomato.,0.08,0.5,0.15392163608550807,0.0,0.0,0.0,0.0,6.25,1.9240204510688508
A man cuts up potatos.,A man slices potatoes.,0.96,0.2886751345948129,0.07060476552405413,0.0,0.0,0.0,0.0,0.3007032652029301,0.07354663075422306
A woman is chopping up garlic.,The woman is dicing garlic.,0.96,0.6,0.5118096498389205,0.0,0.0,0.0,0.0,0.625,0.5331350519155422
An animal run in circles.,A squirrel runs in circles.,0.76,0.4472135954999579,0.39150173383674164,0.0,0.0,0.0,0.0,0.588438941447313,0.5151338603115021
A man is walking slowly across a rope bridge.,A boy is walking across a bridge.,0.6,0.6761234037828132,0.6562765378580621,0.0,0.0,0.0,0.0,1.126872339638022,1.0937942297634369
A man is playing the guitar.,A man seated in a room is playing the guitar.,0.8,0.7905694150420948,0.6183955168417702,0.0,0.0,0.0,0.0,0.9882117688026184,0.7729943960522127
A man plays the flute.,A man is playing a flute.,1.0,0.5,0.6011864278389035,0.0,0.0,0.0,0.0,0.5,0.6011864278389035
A woman cracks two eggs into a glass bowl.,A woman is cracking an egg into a bowl.,0.76,0.4285714285714285,0.3143318972262869,0.0,0.0,0.0,0.0,0.5639097744360901,0.4135946016135354
A man is cutting a fish.,A man guts a fish.,0.6,0.5773502691896258,0.49615579283475514,0.0,0.0,0.0,0.0,0.9622504486493765,0.8269263213912585
Two men are packing suitcases into the trunk of a car.,The men are putting suitcases into the car's trunk.,0.88,0.7627700713964739,0.7659722949641496,0.0,0.0,0.0,0.0,0.8667841720414476,0.8704230624592609
A man pours oil on some tomatos.,The man poured oil on the cut tomatoes.,0.76,0.3872983346207417,0.2347704036407767,0.0,0.0,0.0,0.0,0.509603071869397,0.3089084258431272
A man is slicing something.,A man is slicing a bun.,0.6,0.75,0.4350814135885341,0.0,0.0,0.0,0.0,1.25,0.7251356893142235
A man is paddling a canoe.,A man is playing a harp.,0.13,0.5,0.13521902101152303,0.0,0.0,0.0,0.0,3.846153846153846,1.040146315473254
A man and woman are walking together through the woods.,A man and woman are walking arm in arm through a wooded area.,0.8,0.5547001962252291,0.3334330652680976,0.0,0.0,0.0,0.0,0.6933752452815364,0.41679133158512194
The woman picked up the kangaroo.,A woman picks up a baby kangaroo.,0.75,0.47434164902525683,0.49670446577816724,0.0,0.0,0.0,0.0,0.6324555320336758,0.6622726210375564
Fish are swimming.,A fish is swimming.,0.83,0.6666666666666669,0.8871001948209483,0.0,0.0,0.0,0.0,0.8032128514056227,1.0687954154469257
Two women mix something in a food processor.,Two women make something in a blender.,0.8,0.6172133998483676,0.39534348900120647,0.0,0.0,0.0,0.0,0.7715167498104595,0.4941793612515081
A person is surfing a large wave.,A person is surfing.,0.72,0.7745966692414834,0.7291546527950103,0.0,0.0,0.0,0.0,1.075828707279838,1.0127147955486255
A man is playing a guitar.,A man is stabbing a target.,0.24,0.5,0.1668661660520113,0.0,0.0,0.0,0.0,2.0833333333333335,0.6952756918833805
A man is playing a flute in a band.,A man is playing a guitar.,0.32,0.6123724356957946,0.36781150432418563,0.0,0.0,0.0,0.0,1.913663861549358,1.14941095101308
The man spread butter on the loaf of bread.,A man is spreading butter onto bread.,0.8,0.36927447293799825,0.4412224074981065,0.0,0.0,0.0,0.0,0.4615930911724978,0.551528009372633
A person is boiling noodles.,A woman is boiling noodles in water.,0.8,0.6123724356957946,0.7986108033843426,0.0,0.0,0.0,0.0,0.7654655446197431,0.9982635042304283
A group of people dance on a hill.,A group of people are dancing.,0.64,0.5477225575051662,0.4187448160860754,0.0,0.0,0.0,0.0,0.8558164961018222,0.6542887751344928
A man is dancing outside.,A man is playing flute.,0.2,0.5,0.2033104341832917,0.0,0.0,0.0,0.0,2.5,1.0165521709164584
A woman is feeding a man.,A woman is mixing meat.,0.2,0.5,0.1958861127894163,0.0,0.0,0.0,0.0,2.5,0.9794305639470815
A man is putting a pan into an oven.,A woman is cutting an onion.,0.12,0.3380617018914066,0.14960366414714601,0.0,0.0,0.0,0.0,2.817180849095055,1.2466972012262167
A woman is sitting at a desk.,A woman is riding a donkey.,0.08,0.4472135954999579,0.168557197252139,0.0,0.0,0.0,0.0,5.590169943749474,2.1069649656517373
Medics transport a patient on a stretcher.,A doctor rushes a patient on a stretcher.,0.68,0.6,0.5330923572332108,0.0,0.0,0.0,0.0,0.8823529411764705,0.7839593488723687
A woman is playing a flute on stage.,The woman is playing the flute.,0.72,0.5773502691896258,0.6986298865843872,0.0,0.0,0.0,0.0,0.8018753738744804,0.97031928692276
Two baby pandas are playing.,Two pandas are laying together.,0.6,0.6,0.6146706273648002,0.0,0.0,0.0,0.0,1.0,1.0244510456080003
A baby is laughing.,A baby is laughing and giggling.,0.8,0.7745966692414834,0.7230829838117075,0.0,0.0,0.0,0.0,0.9682458365518543,0.9038537297646344
A man is playing a guitar.,A boy is playing a piano.,0.24,0.5,0.32202879523158123,0.0,0.0,0.0,0.0,2.0833333333333335,1.341786646798255
A man is folding paper.,A woman is slicing a pepper.,0.12,0.25,0.05398802133607404,0.0,0.0,0.0,0.0,2.0833333333333335,0.44990017780061703
Three women are dancing.,The man is dancing.,0.32,0.25,0.4472217916687364,0.0,0.0,0.0,0.0,0.78125,1.3975680989648012
